affliations,article_name,authors,doi,email_address,publishing_date,volume,type,author_id
,Solving Large Problems with Heuristic Search: General-Purpose Parallel External-Memory Search,"Matthew Hatem,Ethan Burns,Wheeler Ruml",https://doi.org/10.1613/jair.1.11209,,,Vol. 62 (2018),article,
,Resource-bounded Norm Monitoring In Multi-agent Systems,Natalia Criado,https://doi.org/10.1613/jair.1.11206,,,Vol. 62 (2018),article,
,MCTS-Minimax Hybrids with State Evaluations,"Hendrik Baier,Mark H. M. Winands",https://doi.org/10.1613/jair.1.11208,,,Vol. 62 (2018),article,
,Verification of Distributed Epistemic Gossip Protocols,"Krzysztof R. Apt,Dominik Wojtczak",https://doi.org/10.1613/jair.1.11204,,,Vol. 62 (2018),article,
,Lifted Relational Neural Networks: Efficient Learning of Latent Relational Structures,"Gustav Sourek,Vojtech Aschenbrenner,Filip Zelezny,Steven Schockaert,Ondrej Kuzelka",https://doi.org/10.1613/jair.1.11203,,,Vol. 62 (2018),article,
,Axiomatic Characterization of Game-Theoretic Centrality,"Oskar Skibski,Tomasz P. Michalak,Talal Rahwan",https://doi.org/10.1613/jair.1.11202,,,Vol. 62 (2018),article,
,Optimal Torpedo Scheduling,"Adrian Goldwaser,Andreas Schutt",https://doi.org/10.1613/jair.1.11268,,,Vol. 63 (2018),article,
,Bounds on the Cost of Stabilizing a Cooperative Game,"Yoram Bachrach,Edith Elkind,Enrico Malizia,Reshef Meir,Dmitrii Pasechnik,Jeffrey S. Rosenschein,Jörg Rothe,Michael Zuckerman",https://doi.org/10.1613/jair.1.11270,,,Vol. 63 (2018),article,
,Transition-Based Neural Word Segmentation Using Word-Level Features,"Meishan Zhang,Yue Zhang,Guohong Fu",https://doi.org/10.1613/jair.1.11266,,,Vol. 63 (2018),article,
,An Exhaustive DPLL Algorithm for Model Counting,"Umut Oztok,Adnan Darwiche",https://doi.org/10.1613/jair.1.11201,,,Vol. 62 (2018),article,
,AND/OR Search for Marginal MAP,"Radu Marinescu,Junkyu Lee,Rina Dechter,Alexander Ihler",https://doi.org/10.1613/jair.1.11265,,,Vol. 63 (2018),article,
,Grounding Language for Transfer in Deep Reinforcement Learning,"Karthik Narasimhan,Regina Barzilay,Tommi Jaakkola",https://doi.org/10.1613/jair.1.11263,,,Vol. 63 (2018),article,
,State-Space Abstractions for Probabilistic Inference: A Systematic Review,"Stefan Lüdtke,Max Schröder,Frank Krüger,Sebastian Bader,Thomas Kirste",https://doi.org/10.1613/jair.1.11261,,,Vol. 63 (2018),article,
,From Word To Sense Embeddings: A Survey on Vector Representations of Meaning,"Jose Camacho-Collados,Mohammad Taher Pilehvar",https://doi.org/10.1613/jair.1.11259,,,Vol. 63 (2018),article,
,Data-driven Conceptual Spaces: Creating Semantic Representations For Linguistic Descriptions Of Numerical Data,"Hadi Banaee,Erik Schaffernicht,Amy Loutfi",https://doi.org/10.1613/jair.1.11258,,,Vol. 63 (2018),article,
,Autonomous Target Search with Multiple Coordinated UAVs,"Chiara Piacentini,Sara Bernardini,J. Christopher Beck",https://doi.org/10.1613/jair.1.11635,,,Vol. 65 (2019),article,
,A Survey of Cross-lingual Word Embedding Models,"Sebastian Ruder,Ivan Vulić,Anders Søgaard",https://doi.org/10.1613/jair.1.11640,,,Vol. 65 (2019),article,
,Computing Multi-Modal Journey Plans under Uncertainty,"Adi Botea,Akihiro Kishimoto,Evdokia Nikolova,Stefano Braghin,Michele Berlingerio,Elizabeth Daly",https://doi.org/10.1613/jair.1.11422,,,Vol. 65 (2019),article,
,Unifying System Health Management and Automated Decision Making,"Edward Balaban,Stephen B. Johnson,Mykel J. Kochenderfer",https://doi.org/10.1613/jair.1.11366,,,Vol. 65 (2019),article,
,OptStream: Releasing Time Series Privately,"Ferdinando Fioretto,Pascal Van Hentenryck",https://doi.org/10.1613/jair.1.11583,,,Vol. 65 (2019),article,
,IKBT: Solving Symbolic Inverse Kinematics with Behavior Tree,"Dianmu Zhang,Blake Hannaford",https://doi.org/10.1613/jair.1.11592,,,Vol. 65 (2019),article,
,Weighted Matching Markets with Budget Constraints,"Anisse Ismaili,Naoto Hamada,Yuzhe Zhang,Takamasa Suzuki,Makoto Yokoo",https://doi.org/10.1613/jair.1.11582,,,Vol. 65 (2019),article,
,Strong Stubborn Set Pruning for Star-Topology Decoupled State Space Search,"Daniel Gnad,Jörg Hoffmann,Martin Wehrle",https://doi.org/10.1613/jair.1.11576,,,Vol. 65 (2019),article,
,Point-Based Value Iteration for Finite-Horizon POMDPs,"Erwin Walraven,Matthijs T. J. Spaan",https://doi.org/10.1613/jair.1.11324,,,Vol. 65 (2019),article,
